Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	Quat x	Quat y	Quat z	Quat w	
498	1805	-3558	1365	440.420	-868.152	333.060	89	-74	6	6.230	-5.180	0.420	29	25.113	-0.204995	-0.535157	0.525858	0.628383	
9852	1807	-3583	1493	440.908	-874.252	364.292	100	-59	7	7.000	-4.130	0.490	29	25.113	-0.204793	-0.535195	0.526318	0.628030	
19207	1840	-3650	1471	448.960	-890.600	358.924	84	-56	14	5.880	-3.920	0.980	35	25.137	-0.204539	-0.534953	0.526895	0.627836	
28563	1788	-3693	1404	436.272	-901.092	342.576	82	-60	31	5.740	-4.200	2.170	35	25.137	-0.204402	-0.534822	0.527404	0.627564	
37919	1719	-3626	1375	419.436	-884.744	335.500	107	-70	41	7.490	-4.900	2.870	48	25.188	-0.204460	-0.534764	0.527978	0.627112	
47274	1699	-3505	1395	414.556	-855.220	340.380	137	-78	30	9.590	-5.460	2.100	48	25.188	-0.204478	-0.534634	0.528704	0.626605	
56630	1761	-3439	1444	429.684	-839.116	352.336	147	-74	19	10.290	-5.180	1.330	26	25.102	-0.204227	-0.534387	0.529497	0.626228	
65985	1813	-3463	1449	442.372	-844.972	353.556	132	-59	23	9.240	-4.130	1.610	26	25.102	-0.203731	-0.534075	0.530233	0.626032	
75341	1841	-3555	1467	449.204	-867.420	357.948	96	-49	34	6.720	-3.430	2.380	38	25.148	-0.203295	-0.533801	0.530870	0.625868	
84696	1795	-3637	1474	437.980	-887.428	359.656	77	-38	44	5.390	-2.660	3.080	38	25.148	-0.203090	-0.533609	0.531425	0.625627	
94050	1775	-3700	1450	433.100	-902.800	353.800	70	-34	51	4.900	-2.380	3.570	35	25.137	-0.203151	-0.533397	0.532006	0.625294	
103407	1765	-3738	1459	430.660	-912.072	355.996	80	-32	70	5.600	-2.240	4.900	35	25.137	-0.203365	-0.533222	0.532593	0.624874	
112762	1789	-3735	1413	436.516	-911.340	344.772	100	-33	93	7.000	-2.310	6.510	37	25.145	-0.203640	-0.532980	0.533292	0.624396	
122117	1782	-3682	1386	434.808	-898.408	338.184	128	-40	113	8.960	-2.800	7.910	37	25.145	-0.203892	-0.532751	0.534067	0.623846	
131471	1739	-3600	1383	424.316	-878.400	337.452	155	-50	129	10.850	-3.500	9.030	35	25.137	-0.204052	-0.532472	0.534975	0.623254	
140826	1682	-3520	1354	410.408	-858.880	330.376	169	-58	137	11.830	-4.060	9.590	35	25.137	-0.204111	-0.532089	0.536046	0.622640	
150181	1632	-3459	1359	398.208	-843.996	331.596	170	-67	132	11.900	-4.690	9.240	37	25.145	-0.204135	-0.531674	0.537207	0.621986	
159536	1617	-3434	1413	394.548	-837.896	344.772	161	-72	122	11.270	-5.040	8.540	37	25.145	-0.204115	-0.531238	0.538396	0.621337	
168892	1606	-3412	1452	391.864	-832.528	354.288	144	-74	109	10.080	-5.180	7.630	34	25.133	-0.204034	-0.530760	0.539571	0.620753	
178247	1605	-3410	1486	391.620	-832.040	362.584	120	-77	94	8.400	-5.390	6.580	34	25.133	-0.203929	-0.530286	0.540679	0.620228	
187603	1575	-3414	1524	384.300	-833.016	371.856	100	-70	73	7.000	-4.900	5.110	43	25.168	-0.203824	-0.529866	0.541682	0.619745	
196958	1544	-3441	1567	376.736	-839.604	382.348	80	-59	44	5.600	-4.130	3.080	43	25.168	-0.203765	-0.529428	0.542596	0.619340	
206313	1552	-3501	1591	378.688	-854.244	388.204	68	-49	28	4.760	-3.430	1.960	44	25.172	-0.203762	-0.528966	0.543394	0.619036	
215669	1615	-3562	1595	394.060	-869.128	389.180	64	-39	25	4.480	-2.730	1.750	44	25.172	-0.203809	-0.528521	0.544097	0.618783	
225024	1704	-3608	1613	415.776	-880.352	393.572	67	-31	29	4.690	-2.170	2.030	32	25.125	-0.203851	-0.528136	0.544703	0.618564	
234380	1764	-3640	1588	430.416	-888.160	387.472	69	-21	39	4.830	-1.470	2.730	32	25.125	-0.203819	-0.527782	0.545247	0.618398	
243735	1802	-3626	1532	439.688	-884.744	373.808	74	-19	58	5.180	-1.330	4.060	41	25.160	-0.203800	-0.527482	0.545741	0.618225	
253091	1797	-3585	1499	438.468	-874.740	365.756	87	-18	84	6.090	-1.260	5.880	41	25.160	-0.203791	-0.527260	0.546228	0.617986	
262446	1779	-3518	1479	434.076	-858.392	360.876	98	-15	102	6.860	-1.050	7.140	27	25.105	-0.203801	-0.527008	0.546813	0.617681	
271801	1724	-3467	1552	420.656	-845.948	378.688	99	2	105	6.930	0.140	7.350	27	25.105	-0.203802	-0.526699	0.547474	0.617358	
281156	1700	-3474	1622	414.800	-847.656	395.768	73	27	102	5.110	1.890	7.140	29	25.113	-0.203839	-0.526154	0.548224	0.617145	
290511	1696	-3552	1694	413.824	-866.688	413.336	30	66	100	2.100	4.620	7.000	29	25.113	-0.204028	-0.525485	0.548926	0.617029	
299867	1688	-3640	1760	411.872	-888.160	429.440	-13	106	91	-0.910	7.420	6.370	37	25.145	-0.204513	-0.524736	0.549503	0.616992	
309222	1623	-3693	1797	396.012	-901.092	438.468	-44	135	83	-3.080	9.450	5.810	37	25.145	-0.205291	-0.523923	0.549926	0.617047	
318577	1539	-3719	1766	375.516	-907.436	430.904	-68	150	83	-4.760	10.500	5.810	35	25.137	-0.206347	-0.523032	0.550276	0.617139	
327932	1484	-3718	1706	362.096	-907.192	416.264	-91	154	77	-6.370	10.780	5.390	35	25.137	-0.207677	-0.522156	0.550582	0.617161	
337287	1490	-3617	1630	363.560	-882.548	397.720	-109	139	68	-7.630	9.730	4.760	37	25.145	-0.209179	-0.521396	0.550790	0.617111	
346642	1566	-3413	1515	382.104	-832.772	369.660	-117	105	68	-8.190	7.350	4.760	37	25.145	-0.210602	-0.520853	0.550851	0.617032	
355996	1638	-3264	1471	399.672	-796.416	358.924	-122	85	78	-8.540	5.950	5.460	28	25.109	-0.211701	-0.520650	0.550734	0.616931	
365351	1608	-3279	1394	392.352	-800.076	340.136	-166	76	80	-11.620	5.320	5.600	28	25.109	-0.212539	-0.520620	0.550528	0.616852	
374706	1583	-3343	1353	386.252	-815.692	330.132	-185	47	68	-12.950	3.290	4.760	31	25.121	-0.213612	-0.520858	0.550177	0.616594	
384061	1531	-3472	1415	373.564	-847.168	345.260	-153	41	80	-10.710	2.870	5.600	31	25.121	-0.214743	-0.521325	0.549764	0.616174	
393417	1441	-3767	1481	351.604	-919.148	361.364	-152	59	95	-10.640	4.130	6.650	25	25.098	-0.215924	-0.521567	0.549619	0.615686	
402772	1393	-3961	1470	339.892	-966.484	358.680	-120	44	85	-8.400	3.080	5.950	25	25.098	-0.217528	-0.521608	0.549673	0.615037	
412128	1374	-3871	1485	335.256	-944.524	362.340	-14	7	73	-0.980	0.490	5.110	29	25.113	-0.219147	-0.521636	0.549852	0.614279	
421484	1341	-3766	1482	327.204	-918.904	361.608	55	-8	76	3.850	-0.560	5.320	29	25.113	-0.220168	-0.521416	0.550364	0.613642	
430839	1402	-3699	1487	342.088	-902.556	362.828	78	-10	63	5.460	-0.700	4.410	29	25.113	-0.220859	-0.520982	0.551124	0.613081	
440195	1544	-3690	1503	376.736	-900.360	366.732	88	-1	43	6.160	-0.070	3.010	29	25.113	-0.221262	-0.520537	0.551836	0.612672	
449550	1583	-3815	1562	386.252	-930.860	381.128	40	37	40	2.800	2.590	2.800	52	25.203	-0.221367	-0.520166	0.552359	0.612477	
458906	1576	-3921	1513	384.544	-956.724	369.172	-15	49	60	-1.050	3.430	4.200	52	25.203	-0.221757	-0.519800	0.552693	0.612346	
468261	1539	-3936	1479	375.516	-960.384	360.876	-33	50	96	-2.310	3.500	6.720	47	25.184	-0.222555	-0.519636	0.552892	0.612016	
477615	1435	-3952	1422	350.140	-964.288	346.968	-52	58	121	-3.640	4.060	8.470	47	25.184	-0.223594	-0.519504	0.553166	0.611502	
486972	1332	-3937	1360	325.008	-960.628	331.840	-53	46	126	-3.710	3.220	8.820	28	25.109	-0.224973	-0.519372	0.553508	0.610799	
496327	1292	-3832	1349	315.248	-935.008	329.156	-14	15	123	-0.980	1.050	8.610	28	25.109	-0.226486	-0.519278	0.553920	0.609944	
505683	1273	-3728	1298	310.612	-909.632	316.712	22	-10	118	1.540	-0.700	8.260	33	25.129	-0.227719	-0.519132	0.554491	0.609091	
515038	1253	-3673	1275	305.732	-896.212	311.100	41	-35	94	2.870	-2.450	6.580	33	25.129	-0.228696	-0.519006	0.555146	0.608235	
524393	1232	-3625	1261	300.608	-884.500	307.684	55	-59	61	3.850	-4.130	4.270	39	25.152	-0.229443	-0.518945	0.555795	0.607412	
533748	1261	-3636	1231	307.684	-887.184	300.364	59	-90	44	4.130	-6.300	3.080	39	25.152	-0.229957	-0.518958	0.556404	0.606648	
543103	1328	-3699	1229	324.032	-902.556	299.876	68	-107	39	4.760	-7.490	2.730	34	25.133	-0.230283	-0.519168	0.556948	0.605846	
552458	1371	-3809	1253	334.524	-929.396	305.732	73	-112	35	5.110	-7.840	2.450	34	25.133	-0.230446	-0.519492	0.557456	0.605038	
561813	1438	-3858	1231	350.872	-941.352	300.364	95	-144	41	6.650	-10.080	2.870	34	25.133	-0.230558	-0.519842	0.557957	0.604232	
571168	1436	-3887	1234	350.384	-948.428	301.096	138	-174	60	9.660	-12.180	4.200	34	25.133	-0.230457	-0.520323	0.558508	0.603347	
580522	1364	-3879	1250	332.816	-946.476	305.000	166	-201	65	11.620	-14.070	4.550	34	25.133	-0.230184	-0.520742	0.559298	0.602358	
589876	1355	-3784	1244	330.620	-923.296	303.536	207	-238	69	14.490	-16.660	4.830	34	25.133	-0.229823	-0.521066	0.560301	0.601282	
599233	1351	-3695	1256	329.644	-901.580	306.464	224	-252	72	15.680	-17.640	5.040	32	25.125	-0.229155	-0.521363	0.561481	0.600178	
608588	1355	-3628	1242	330.620	-885.232	303.048	221	-260	68	15.470	-18.200	4.760	32	25.125	-0.228314	-0.521610	0.562742	0.599102	
617944	1373	-3636	1236	335.012	-887.184	301.584	209	-267	60	14.630	-18.690	4.200	39	25.152	-0.227394	-0.521911	0.563964	0.598039	
627299	1340	-3715	1266	326.960	-906.460	308.904	183	-267	53	12.810	-18.690	3.710	39	25.152	-0.226450	-0.522312	0.565108	0.596967	
636655	1301	-3773	1227	317.444	-920.612	299.388	162	-275	59	11.340	-19.250	4.130	34	25.133	-0.225664	-0.522742	0.566213	0.595840	
646011	1296	-3754	1196	316.224	-915.976	291.824	172	-299	76	12.040	-20.930	5.320	34	25.133	-0.225068	-0.523296	0.567294	0.594549	
655366	1259	-3689	1181	307.196	-900.116	288.164	189	-320	85	13.230	-22.400	5.950	29	25.113	-0.224420	-0.523914	0.568469	0.593126	
664722	1255	-3616	1137	306.220	-882.304	277.428	190	-347	74	13.300	-24.290	5.180	29	25.113	-0.223683	-0.524510	0.569768	0.591629	
674077	1282	-3561	1149	312.808	-868.884	280.356	198	-372	70	13.860	-26.040	4.900	31	25.121	-0.222797	-0.525255	0.571027	0.590087	
683433	1306	-3639	1219	318.664	-887.916	297.436	190	-384	69	13.300	-26.880	4.830	31	25.121	-0.221688	-0.526048	0.572305	0.588558	
692788	1322	-3765	1310	322.568	-918.660	319.640	182	-382	67	12.740	-26.740	4.690	30	25.117	-0.220533	-0.526822	0.573614	0.587023	
702142	1327	-3831	1305	323.788	-934.764	318.420	196	-392	69	13.720	-27.440	4.830	30	25.117	-0.219412	-0.527506	0.574958	0.585512	
711499	1290	-3835	1328	314.760	-935.740	324.032	224	-411	78	15.680	-28.770	5.460	33	25.129	-0.218259	-0.528199	0.576356	0.583943	
720854	1223	-3754	1294	298.412	-915.976	315.736	252	-434	86	17.640	-30.380	6.020	33	25.129	-0.217016	-0.528780	0.577942	0.582310	
730209	1186	-3588	1282	289.384	-875.472	312.808	276	-464	86	19.320	-32.480	6.020	41	25.160	-0.215690	-0.529307	0.579695	0.580578	
739564	1151	-3449	1306	280.844	-841.556	318.664	272	-480	81	19.040	-33.600	5.670	41	25.160	-0.214120	-0.529792	0.581574	0.578836	
748919	1159	-3404	1331	282.796	-830.576	324.764	244	-484	75	17.080	-33.880	5.250	41	25.160	-0.212420	-0.530228	0.583492	0.577129	
758274	1168	-3457	1390	284.992	-843.508	339.160	208	-475	56	14.560	-33.250	3.920	41	25.160	-0.210711	-0.530725	0.585317	0.575450	
767629	1154	-3584	1478	281.576	-874.496	360.632	178	-467	36	12.460	-32.690	2.520	43	25.168	-0.209079	-0.531256	0.586998	0.573839	
776985	1122	-3692	1477	273.768	-900.848	360.388	174	-468	34	12.180	-32.760	2.380	43	25.168	-0.207576	-0.531769	0.588599	0.572268	
786340	1106	-3735	1493	269.864	-911.340	364.292	196	-479	33	13.720	-33.530	2.310	35	25.137	-0.206210	-0.532312	0.590205	0.570601	
795695	1087	-3695	1532	265.228	-901.580	373.808	235	-490	28	16.450	-34.300	1.960	35	25.137	-0.204776	-0.532792	0.591908	0.568902	
805050	1117	-3641	1583	272.548	-888.404	386.252	271	-503	31	18.970	-35.210	2.170	49	25.191	-0.203136	-0.533087	0.593773	0.567268	
814405	1155	-3639	1632	281.820	-887.916	398.208	276	-502	34	19.320	-35.140	2.380	49	25.191	-0.201223	-0.533224	0.595777	0.565717	
823761	1205	-3675	1670	294.020	-896.700	407.480	268	-493	28	18.760	-34.510	1.960	40	25.156	-0.199217	-0.533297	0.597798	0.564225	
833116	1252	-3672	1650	305.488	-895.968	402.600	258	-492	26	18.060	-34.440	1.820	40	25.156	-0.197182	-0.533378	0.599734	0.562807	
842472	1289	-3633	1608	314.516	-886.452	392.352	241	-495	30	16.870	-34.650	2.100	32	25.125	-0.195121	-0.533566	0.601561	0.561396	
851826	1321	-3585	1595	322.324	-874.740	389.180	243	-499	43	17.010	-34.930	3.010	32	25.125	-0.193060	-0.533900	0.603275	0.559949	
861181	1354	-3555	1604	330.376	-867.420	391.376	231	-494	48	16.170	-34.580	3.360	41	25.160	-0.190944	-0.534255	0.604994	0.558480	
870537	1380	-3534	1613	336.720	-862.296	393.572	219	-492	47	15.330	-34.440	3.290	41	25.160	-0.188824	-0.534629	0.606658	0.557037	
879892	1439	-3553	1627	351.116	-866.932	396.988	220	-492	52	15.400	-34.440	3.640	44	25.172	-0.186689	-0.535035	0.608257	0.555619	
889248	1480	-3630	1660	361.120	-885.720	405.040	215	-478	53	15.050	-33.460	3.710	44	25.172	-0.184493	-0.535465	0.609827	0.554216	
898603	1497	-3706	1696	365.268	-904.264	413.824	224	-465	56	15.680	-32.550	3.920	37	25.145	-0.182361	-0.535877	0.611354	0.552840	
907959	1500	-3766	1691	366.000	-918.904	412.604	237	-457	66	16.590	-31.990	4.620	37	25.145	-0.180284	-0.536198	0.612913	0.551481	
917314	1486	-3782	1698	362.584	-922.808	414.312	268	-453	79	18.760	-31.710	5.530	30	25.117	-0.178281	-0.536472	0.614522	0.550074	
926668	1475	-3726	1673	359.900	-909.144	408.212	298	-449	81	20.860	-31.430	5.670	30	25.117	-0.176272	-0.536598	0.616271	0.548639	
936023	1475	-3617	1642	359.900	-882.548	400.648	306	-445	76	21.420	-31.150	5.320	54	25.211	-0.174180	-0.536618	0.618096	0.547234	
945377	1508	-3493	1597	367.952	-852.292	389.668	305	-439	74	21.350	-30.730	5.180	54	25.211	-0.171995	-0.536611	0.619891	0.545899	
954732	1546	-3432	1577	377.224	-837.408	384.788	291	-421	75	20.370	-29.470	5.250	37	25.145	-0.169701	-0.536644	0.621595	0.544646	
964087	1572	-3461	1599	383.568	-844.484	390.156	259	-392	67	18.130	-27.440	4.690	37	25.145	-0.167423	-0.536712	0.623180	0.543471	
973443	1618	-3553	1587	394.792	-866.932	387.228	225	-364	63	15.750	-25.480	4.410	37	25.145	-0.165311	-0.536809	0.624605	0.542385	
982798	1653	-3642	1607	403.332	-888.648	392.108	205	-340	63	14.350	-23.800	4.410	37	25.145	-0.163423	-0.537037	0.625832	0.541317	
992153	1649	-3677	1600	402.356	-897.188	390.400	198	-322	59	13.860	-22.540	4.130	43	25.168	-0.161710	-0.537289	0.626960	0.540275	
1001509	1654	-3643	1585	403.576	-888.892	386.740	204	-313	55	14.280	-21.910	3.850	43	25.168	-0.160119	-0.537535	0.628033	0.539257	
1010864	1649	-3576	1593	402.356	-872.544	388.692	203	-301	55	14.210	-21.070	3.850	42	25.164	-0.158507	-0.537750	0.629085	0.538291	
1020219	1648	-3515	1601	402.112	-857.660	390.644	190	-290	51	13.300	-20.300	3.570	42	25.164	-0.156894	-0.537891	0.630131	0.537399	
1029574	1644	-3469	1605	401.136	-846.436	391.620	173	-278	42	12.110	-19.460	2.940	43	25.168	-0.155298	-0.538010	0.631120	0.536581	
1038929	1624	-3445	1567	396.256	-840.580	382.348	146	-272	31	10.220	-19.040	2.170	43	25.168	-0.153742	-0.538134	0.632025	0.535840	
1048285	1615	-3443	1509	394.060	-840.092	368.196	131	-273	23	9.170	-19.110	1.610	42	25.164	-0.152292	-0.538384	0.632791	0.535098	
1057640	1602	-3462	1502	390.888	-844.728	366.488	134	-275	17	9.380	-19.250	1.190	42	25.164	-0.150909	-0.538787	0.633444	0.534312	
1066996	1620	-3454	1543	395.280	-842.776	376.492	139	-284	8	9.730	-19.880	0.560	32	25.125	-0.149541	-0.539195	0.634098	0.533508	
1076351	1659	-3442	1567	404.796	-839.848	382.348	155	-293	0	10.850	-20.510	0.000	32	25.125	-0.148053	-0.539555	0.634772	0.532757	
1085704	1677	-3452	1581	409.188	-842.288	385.764	163	-289	-14	11.410	-20.230	-0.980	48	25.188	-0.146387	-0.539872	0.635467	0.532068	
1095061	1684	-3479	1611	410.896	-848.876	393.084	164	-279	-20	11.480	-19.530	-1.400	48	25.188	-0.144658	-0.540150	0.636140	0.531454	
1104416	1702	-3485	1604	415.288	-850.340	391.376	167	-271	-17	11.690	-18.970	-1.190	38	25.148	-0.142960	-0.540363	0.636812	0.530891	
1113771	1681	-3439	1583	410.164	-839.116	386.252	169	-261	-17	11.830	-18.270	-1.190	38	25.148	-0.141287	-0.540565	0.637475	0.530337	
1123126	1643	-3389	1551	400.892	-826.916	378.444	164	-252	-25	11.480	-17.640	-1.750	33	25.129	-0.139656	-0.540729	0.638137	0.529806	
1132482	1620	-3368	1546	395.280	-821.792	377.224	146	-239	-43	10.220	-16.730	-3.010	33	25.129	-0.138088	-0.540896	0.638757	0.529300	
1141837	1649	-3386	1547	402.356	-826.184	377.468	119	-222	-62	8.330	-15.540	-4.340	30	25.117	-0.136598	-0.541084	0.639275	0.528869	
1151192	1674	-3421	1564	408.456	-834.724	381.616	96	-206	-73	6.720	-14.420	-5.110	30	25.117	-0.135179	-0.541357	0.639618	0.528539	
1160547	1680	-3434	1547	409.920	-837.896	377.468	77	-199	-80	5.390	-13.930	-5.600	33	25.129	-0.133854	-0.541675	0.639842	0.528279	
1169901	1659	-3438	1522	404.796	-838.872	371.368	62	-195	-82	4.340	-13.650	-5.740	33	25.129	-0.132614	-0.542079	0.639966	0.528026	
1179256	1642	-3449	1517	400.648	-841.556	370.148	62	-193	-81	4.340	-13.510	-5.670	44	25.172	-0.131487	-0.542551	0.640038	0.527738	
1188611	1647	-3445	1522	401.868	-840.580	371.368	59	-190	-90	4.130	-13.300	-6.300	44	25.172	-0.130423	-0.543009	0.640128	0.527421	
1197965	1671	-3411	1507	407.724	-832.284	367.708	56	-182	-104	3.920	-12.740	-7.280	29	25.113	-0.129347	-0.543462	0.640185	0.527149	
1207322	1704	-3393	1496	415.776	-827.892	365.024	49	-170	-116	3.430	-11.900	-8.120	29	25.113	-0.128215	-0.543933	0.640157	0.526975	
1216677	1704	-3427	1488	415.776	-836.188	363.072	32	-159	-128	2.240	-11.130	-8.960	42	25.164	-0.127058	-0.544428	0.640029	0.526900	
1226033	1725	-3489	1474	420.900	-851.316	359.656	18	-154	-138	1.260	-10.780	-9.660	42	25.164	-0.126006	-0.544979	0.639807	0.526852	
1235388	1730	-3574	1478	422.120	-872.056	360.632	11	-139	-146	0.770	-9.730	-10.220	38	25.148	-0.125029	-0.545625	0.639488	0.526803	
1244743	1710	-3658	1524	417.240	-892.552	371.856	7	-122	-150	0.490	-8.540	-10.500	38	25.148	-0.124185	-0.546275	0.639127	0.526767	
1254098	1725	-3685	1542	420.900	-899.140	376.248	16	-113	-144	1.120	-7.910	-10.080	37	25.145	-0.123501	-0.546823	0.638799	0.526757	
1263453	1719	-3697	1545	419.436	-902.068	376.980	13	-98	-138	0.910	-6.860	-9.660	37	25.145	-0.122844	-0.547289	0.638523	0.526761	
1272808	1697	-3688	1530	414.068	-899.872	373.320	-1	-81	-138	-0.070	-5.670	-9.660	43	25.168	-0.122297	-0.547704	0.638260	0.526775	
1282163	1681	-3670	1546	410.164	-895.480	377.224	-6	-71	-130	-0.420	-4.970	-9.100	43	25.168	-0.121892	-0.548119	0.637954	0.526809	
1291519	1668	-3689	1535	406.992	-900.116	374.540	-12	-61	-120	-0.840	-4.270	-8.400	45	25.176	-0.121572	-0.548465	0.637682	0.526852	
1300874	1679	-3714	1531	409.676	-906.216	373.564	-11	-48	-116	-0.770	-3.360	-8.120	45	25.176	-0.121382	-0.548807	0.637421	0.526854	
1310227	1692	-3717	1539	412.848	-906.948	375.516	0	-38	-109	0.000	-2.660	-7.630	37	25.145	-0.121258	-0.549121	0.637160	0.526873	
1319584	1715	-3688	1509	418.460	-899.872	368.196	10	-34	-97	0.700	-2.380	-6.790	37	25.145	-0.121141	-0.549352	0.636946	0.526918	
1328939	1712	-3637	1492	417.728	-887.428	364.048	13	-31	-87	0.910	-2.170	-6.090	22	25.086	-0.121000	-0.549574	0.636753	0.526951	
1338295	1703	-3577	1488	415.532	-872.788	363.072	8	-33	-84	0.560	-2.310	-5.880	22	25.086	-0.120861	-0.549773	0.636587	0.526977	
1347650	1686	-3540	1523	411.384	-863.760	371.612	3	-24	-78	0.210	-1.680	-5.460	42	25.164	-0.120703	-0.549968	0.636419	0.527012	
1357006	1687	-3587	1547	411.628	-875.228	377.468	-19	-6	-74	-1.330	-0.420	-5.180	42	25.164	-0.120594	-0.550061	0.636296	0.527088	
1366361	1669	-3663	1554	407.236	-893.772	379.176	-31	8	-71	-2.170	0.560	-4.970	39	25.152	-0.120661	-0.550156	0.636126	0.527179	
1375716	1655	-3704	1549	403.820	-903.776	377.956	-21	10	-63	-1.470	0.700	-4.410	39	25.152	-0.120916	-0.550255	0.635944	0.527237	
1385071	1619	-3687	1561	395.036	-899.628	380.884	-3	9	-52	-0.210	0.630	-3.640	39	25.152	-0.121228	-0.550319	0.635825	0.527242	
1394425	1580	-3652	1552	385.520	-891.088	378.688	11	6	-45	0.770	0.420	-3.150	39	25.152	-0.121549	-0.550265	0.635836	0.527211	
1403780	1589	-3595	1546	387.716	-877.180	377.224	17	4	-43	1.190	0.280	-3.010	48	25.188	-0.121869	-0.550140	0.635937	0.527145	
1413135	1564	-3571	1534	381.616	-871.324	374.296	8	9	-42	0.560	0.630	-2.940	48	25.188	-0.122105	-0.549993	0.636048	0.527110	
1422490	1543	-3583	1524	376.492	-874.252	371.856	1	9	-40	0.070	0.630	-2.800	40	25.156	-0.122408	-0.549858	0.636139	0.527071	
1431846	1522	-3589	1509	371.368	-875.716	368.196	-1	1	-44	-0.070	0.070	-3.080	40	25.156	-0.122782	-0.549757	0.636220	0.526991	
1441201	1519	-3557	1503	370.636	-867.908	366.732	8	-11	-51	0.560	-0.770	-3.570	36	25.141	-0.123159	-0.549704	0.636293	0.526871	
1450556	1528	-3525	1522	372.832	-860.100	371.368	22	-15	-52	1.540	-1.050	-3.640	36	25.141	-0.123418	-0.549655	0.636376	0.526761	
1459911	1544	-3548	1541	376.736	-865.712	376.004	21	-12	-46	1.470	-0.840	-3.220	36	25.141	-0.123564	-0.549530	0.636509	0.526697	
1469266	1532	-3589	1560	373.808	-875.716	380.640	16	-8	-43	1.120	-0.560	-3.010	36	25.141	-0.123725	-0.549386	0.636655	0.526632	
1478622	1499	-3592	1559	365.756	-876.448	380.396	17	-9	-43	1.190	-0.630	-3.010	42	25.164	-0.123969	-0.549227	0.636816	0.526545	
1487977	1450	-3591	1549	353.800	-876.204	377.956	13	-8	-44	0.910	-0.560	-3.080	42	25.164	-0.124256	-0.549051	0.637007	0.526431	
1497333	1428	-3581	1549	348.432	-873.764	377.956	16	-9	-45	1.120	-0.630	-3.150	41	25.160	-0.124632	-0.548873	0.637213	0.526278	
1506688	1427	-3544	1544	348.188	-864.736	376.736	19	-11	-53	1.330	-0.770	-3.710	41	25.160	-0.125013	-0.548672	0.637442	0.526120	
1516044	1441	-3519	1542	351.604	-858.636	376.248	17	-13	-64	1.190	-0.910	-4.480	34	25.133	-0.125319	-0.548466	0.637650	0.526010	
1525400	1461	-3513	1522	356.484	-857.172	371.368	9	-12	-66	0.630	-0.840	-4.620	34	25.133	-0.125542	-0.548286	0.637803	0.525959	
1534755	1462	-3534	1514	356.728	-862.296	369.416	5	-17	-69	0.350	-1.190	-4.830	32	25.125	-0.125753	-0.548181	0.637884	0.525918	
1544111	1450	-3562	1505	353.800	-869.128	367.220	4	-25	-78	0.280	-1.750	-5.460	32	25.125	-0.125965	-0.548133	0.637938	0.525852	
1553466	1461	-3618	1513	356.484	-882.792	369.172	5	-27	-80	0.350	-1.890	-5.600	34	25.133	-0.126168	-0.548139	0.637969	0.525760	
1562822	1470	-3680	1534	358.680	-897.920	374.296	11	-28	-75	0.770	-1.960	-5.250	34	25.133	-0.126376	-0.548166	0.637995	0.525651	
1572177	1497	-3701	1537	365.268	-903.044	375.028	23	-39	-68	1.610	-2.730	-4.760	38	25.148	-0.126602	-0.548168	0.638063	0.525510	
1581531	1495	-3683	1535	364.780	-898.652	374.540	34	-45	-62	2.380	-3.150	-4.340	38	25.148	-0.126743	-0.548177	0.638176	0.525331	
1590888	1498	-3645	1519	365.512	-889.380	370.636	40	-50	-57	2.800	-3.500	-3.990	54	25.211	-0.126833	-0.548154	0.638344	0.525129	
1600243	1510	-3618	1514	368.440	-882.792	369.416	42	-51	-47	2.940	-3.570	-3.290	54	25.211	-0.126870	-0.548134	0.638531	0.524913	
1609598	1511	-3613	1490	368.684	-881.572	363.560	33	-53	-39	2.310	-3.710	-2.730	35	25.137	-0.126886	-0.548109	0.638738	0.524683	
1618952	1516	-3613	1465	369.904	-881.572	357.460	30	-60	-38	2.100	-4.200	-2.660	35	25.137	-0.126948	-0.548157	0.638918	0.524399	
1628307	1516	-3629	1466	369.904	-885.476	357.704	35	-65	-38	2.450	-4.550	-2.660	42	25.164	-0.126995	-0.548279	0.639070	0.524074	
1637662	1506	-3646	1475	367.464	-889.624	359.900	38	-70	-36	2.660	-4.900	-2.520	42	25.164	-0.127018	-0.548402	0.639242	0.523730	
1647017	1510	-3654	1473	368.440	-891.576	359.412	45	-76	-30	3.150	-5.320	-2.100	51	25.199	-0.127043	-0.548511	0.639450	0.523357	
1656373	1509	-3647	1476	368.196	-889.868	360.144	50	-78	-24	3.500	-5.460	-1.680	51	25.199	-0.127041	-0.548616	0.639696	0.522946	
1665728	1509	-3636	1472	368.196	-887.184	359.168	56	-79	-22	3.920	-5.530	-1.540	43	25.168	-0.127025	-0.548695	0.639979	0.522520	
1675083	1518	-3624	1475	370.392	-884.256	359.900	55	-77	-28	3.850	-5.390	-1.960	43	25.168	-0.126982	-0.548756	0.640283	0.522094	
1684438	1535	-3617	1464	374.540	-882.548	357.216	51	-74	-27	3.570	-5.180	-1.890	40	25.156	-0.126902	-0.548814	0.640557	0.521715	
