Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	QVAR [LSB]
2164	7520	-4800	13216	458.72	-292.8	806.176	560
7118	7568	-4832	13280	461.648	-294.752	810.08	416
12072	7520	-4832	13152	458.72	-294.752	802.272	512
17027	7552	-4880	13152	460.672	-297.68	802.272	320
21983	7504	-4848	13152	457.744	-295.728	802.272	464
26939	7488	-4848	13168	456.768	-295.728	803.248	288
31895	7488	-4944	13152	456.768	-301.584	802.272	400
36850	7424	-5008	13184	452.864	-305.488	804.224	272
41805	7408	-4960	13280	451.888	-302.56	810.08	288
46760	7520	-4944	13248	458.72	-301.584	808.128	352
51716	7520	-4880	13248	458.72	-297.68	808.128	208
56672	7568	-4880	13248	461.648	-297.68	808.128	208
61626	7616	-4816	13328	464.576	-293.776	813.008	208
66583	7616	-4880	13312	464.576	-297.68	812.032	64
71539	7552	-4896	13344	460.672	-298.656	813.984	192
76496	7552	-4832	13328	460.672	-294.752	813.008	80
81451	7568	-4896	13344	461.648	-298.656	813.984	192
86407	7632	-4864	13280	465.552	-296.704	810.08	48
91364	7488	-4944	13200	456.768	-301.584	805.2	48
96320	7536	-4912	13312	459.696	-299.632	812.032	112
101273	7472	-4928	13248	455.792	-300.608	808.128	80
106227	7488	-4896	13312	456.768	-298.656	812.032	48
111184	7552	-4944	13312	460.672	-301.584	812.032	-16
116139	7424	-4880	13312	452.864	-297.68	812.032	-48
121094	7472	-4912	13360	455.792	-299.632	814.96	16
126048	7568	-4960	13312	461.648	-302.56	812.032	-64
131006	7584	-4944	13280	462.624	-301.584	810.08	48
135959	7552	-4896	13328	460.672	-298.656	813.008	-64
140916	7712	-4928	13264	470.432	-300.608	809.104	-96
145872	7728	-4896	13280	471.408	-298.656	810.08	0
150828	7600	-4816	13376	463.6	-293.776	815.936	-160
155784	7696	-4880	13408	469.456	-297.68	817.888	-48
160739	7712	-4832	13376	470.432	-294.752	815.936	-80
165695	7680	-4896	13360	468.48	-298.656	814.96	-96
170649	7696	-4960	13376	469.456	-302.56	815.936	-112
175606	7776	-5040	13424	474.336	-307.44	818.864	-96
180562	7744	-5152	13408	472.384	-314.272	817.888	16
185517	7824	-5328	13472	477.264	-325.008	821.792	-128
190473	7792	-5504	13520	475.312	-335.744	824.72	-240
195429	7728	-5776	13568	471.408	-352.336	827.648	-80
200384	7712	-5920	13584	470.432	-361.12	828.624	-288
205340	7632	-6048	13776	465.552	-368.928	840.336	-208
210296	7520	-6064	13888	458.72	-369.904	847.168	-224
215252	7488	-5968	13904	456.768	-364.048	848.144	-240
220206	7504	-5824	13952	457.744	-355.264	851.072	-336
225161	7440	-5552	13952	453.84	-338.672	851.072	-336
230117	7408	-5152	14032	451.888	-314.272	855.952	-336
235073	7408	-4928	14000	451.888	-300.608	854	-416
240029	7520	-4464	13968	458.72	-272.304	852.048	-544
244985	7600	-4176	13936	463.6	-254.736	850.096	-480
249941	7712	-4016	13872	470.432	-244.976	846.192	-560
254896	7744	-3840	13840	472.384	-234.24	844.24	-576
259852	7760	-3712	13840	473.36	-226.432	844.24	-672
264807	7760	-3616	13824	473.36	-220.576	843.264	-576
269763	7840	-3632	13744	478.24	-221.552	838.384	-768
274719	7792	-3680	13568	475.312	-224.48	827.648	-800
279675	7840	-3728	13584	478.24	-227.408	828.624	-704
284630	7776	-3744	13520	474.336	-228.384	824.72	-768
289585	7792	-3792	13520	475.312	-231.312	824.72	-800
294542	7840	-3840	13472	478.24	-234.24	821.792	-784
299497	7680	-3872	13440	468.48	-236.192	819.84	-736
304453	7872	-3952	13472	480.192	-241.072	821.792	-800
309408	7840	-3936	13472	478.24	-240.096	821.792	-944
314363	7952	-4016	13408	485.072	-244.976	817.888	-768
319318	7760	-4016	13424	473.36	-244.976	818.864	-832
324274	7776	-4112	13376	474.336	-250.832	815.936	-848
329228	7712	-4128	13184	470.432	-251.808	804.224	-688
334184	7632	-4032	13120	465.552	-245.952	800.32	-784
339140	7664	-4080	12912	467.504	-248.88	787.632	-784
344095	7552	-3984	12864	460.672	-243.024	784.704	-752
349050	7344	-3872	12832	447.984	-236.192	782.752	-720
354004	7344	-3856	12752	447.984	-235.216	777.872	-752
358960	7344	-3792	12784	447.984	-231.312	779.824	-736
363915	7184	-3632	12800	438.224	-221.552	780.8	-608
368871	7136	-3552	12832	435.296	-216.672	782.752	-672
373827	7040	-3312	12896	429.44	-202.032	786.656	-720
378782	7296	-3392	12880	445.056	-206.912	785.68	-624
383737	7072	-3232	13008	431.392	-197.152	793.488	-656
388692	7152	-3200	13056	436.272	-195.2	796.416	-640
393647	7280	-3232	13024	444.08	-197.152	794.464	-560
398602	7296	-3312	13072	445.056	-202.032	797.392	-464
403556	7360	-3408	13072	448.96	-207.888	797.392	-512
408512	7392	-3472	13040	450.912	-211.792	795.44	-416
413467	7424	-3520	12944	452.864	-214.72	789.584	-288
418421	7424	-3664	12864	452.864	-223.504	784.704	-336
423377	7408	-3760	12928	451.888	-229.36	788.608	-352
428332	7392	-3856	12928	450.912	-235.216	788.608	-288
433287	7344	-4016	12944	447.984	-244.976	789.584	-224
438242	7264	-4144	12928	443.104	-252.784	788.608	-144
443197	7264	-4256	12992	443.104	-259.616	792.512	-144
448153	7136	-4352	13072	435.296	-265.472	797.392	-32
453108	7104	-4448	13200	433.344	-271.328	805.2	-144
458063	7040	-4528	13216	429.44	-276.208	806.176	-64
463019	6976	-4576	13424	425.536	-279.136	818.864	0
467975	6944	-4528	13536	423.584	-276.208	825.696	-48
472930	6976	-4672	13520	425.536	-284.992	824.72	0
477884	6960	-4768	13632	424.56	-290.848	831.552	16
482842	6976	-4768	13728	425.536	-290.848	837.408	-48
487796	6928	-4864	13776	422.608	-296.704	840.336	32
492754	6928	-4880	13840	422.608	-297.68	844.24	-32
497710	6992	-4880	13872	426.512	-297.68	846.192	160
502665	6992	-4800	13840	426.512	-292.8	844.24	-48
507620	6992	-4816	13984	426.512	-293.776	853.024	-64
512574	6928	-4736	13952	422.608	-288.896	851.072	48
517530	7024	-4592	13952	428.464	-280.112	851.072	-48
522485	7104	-4544	13856	433.344	-277.184	845.216	-16
527441	7072	-4512	13872	431.392	-275.232	846.192	0
532396	7184	-4544	13904	438.224	-277.184	848.144	-16
537351	7200	-4528	13872	439.2	-276.208	846.192	-48
542305	7120	-4560	13872	434.32	-278.16	846.192	-32
547263	7136	-4576	13760	435.296	-279.136	839.36	48
552216	7040	-4512	13712	429.44	-275.232	836.432	48
557173	7072	-4512	13632	431.392	-275.232	831.552	-112
562127	7152	-4496	13632	436.272	-274.256	831.552	-16
567085	7184	-4432	13664	438.224	-270.352	833.504	-112
572041	7232	-4368	13664	441.152	-266.448	833.504	-16
576996	7216	-4384	13744	440.176	-267.424	838.384	-64
581952	7232	-4352	13776	441.152	-265.472	840.336	16
586907	7232	-4448	13728	441.152	-271.328	837.408	-48
591863	7232	-4448	13728	441.152	-271.328	837.408	-48
596818	7248	-4464	13600	442.128	-272.304	829.6	16
601774	7072	-4384	13520	431.392	-267.424	824.72	-64
606730	7040	-4448	13456	429.44	-271.328	820.816	-64
611686	6976	-4368	13520	425.536	-266.448	824.72	-32
616641	7040	-4368	13520	429.44	-266.448	824.72	-80
621597	6976	-4320	13520	425.536	-263.52	824.72	-96
626553	6976	-4272	13456	425.536	-260.592	820.816	-144
631508	6976	-4240	13520	425.536	-258.64	824.72	16
636463	6976	-4192	13520	425.536	-255.712	824.72	-144
641418	7024	-4304	13568	428.464	-262.544	827.648	-176
646374	7056	-4416	13568	430.416	-269.376	827.648	-32
651329	6992	-4464	13584	426.512	-272.304	828.624	-176
656284	6992	-4464	13520	426.512	-272.304	824.72	-144
661239	7056	-4560	13552	430.416	-278.16	826.672	-96
666194	7184	-4512	13472	438.224	-275.232	821.792	-128
671148	7216	-4560	13504	440.176	-278.16	823.744	-96
676105	7296	-4528	13504	445.056	-276.208	823.744	-208
681061	7408	-4560	13536	451.888	-278.16	825.696	16
686017	7488	-4560	13600	456.768	-278.16	829.6	-160
690973	7456	-4656	13584	454.816	-284.016	828.624	-160
695928	7520	-4672	13600	458.72	-284.992	829.6	-48
700882	7616	-4640	13632	464.576	-283.04	831.552	-160
705838	7632	-4688	13616	465.552	-285.968	830.576	-112
710795	7600	-4736	13584	463.6	-288.896	828.624	-160
715750	7568	-4736	13536	461.648	-288.896	825.696	-144
720707	7536	-4784	13488	459.696	-291.824	822.768	-192
725662	7504	-4784	13472	457.744	-291.824	821.792	-192
730617	7424	-4816	13440	452.864	-293.776	819.84	32
735572	7424	-4848	13440	452.864	-295.728	819.84	-128
740528	7472	-4912	13360	455.792	-299.632	814.96	-176
745483	7328	-4912	13408	447.008	-299.632	817.888	0
750439	7264	-4976	13440	443.104	-303.536	819.84	-208
755395	7280	-4944	13456	444.08	-301.584	820.816	-128
760350	7216	-4912	13488	440.176	-299.632	822.768	-176
765306	7296	-4912	13440	445.056	-299.632	819.84	-16
770261	7264	-4880	13440	443.104	-297.68	819.84	-80
775217	7232	-4880	13456	441.152	-297.68	820.816	-96
780172	7296	-4928	13472	445.056	-300.608	821.792	48
785128	7408	-4960	13440	451.888	-302.56	819.84	-160
790084	7440	-5104	13488	453.84	-311.344	822.768	-176
795039	7472	-5104	13392	455.792	-311.344	816.912	-112
799994	7504	-5152	13312	457.744	-314.272	812.032	-176
804950	7456	-5104	13328	454.816	-311.344	813.008	-112
809905	7504	-5088	13296	457.744	-310.368	811.056	-192
814861	7520	-5120	13264	458.72	-312.32	809.104	-16
819816	7520	-4992	13200	458.72	-304.512	805.2	-128
824771	7536	-4992	13216	459.696	-304.512	806.176	-128
829724	7520	-4944	13168	458.72	-301.584	803.248	-64
834681	7536	-4944	13136	459.696	-301.584	801.296	-144
839634	7424	-4896	13040	452.864	-298.656	795.44	-128
844591	7424	-4912	13120	452.864	-299.632	800.32	-64
849547	7392	-4896	13184	450.912	-298.656	804.224	-160
854503	7376	-4832	13248	449.936	-294.752	808.128	-64
859459	7248	-4912	13312	442.128	-299.632	812.032	-192
864414	7232	-4960	13312	441.152	-302.56	812.032	-16
869370	7152	-4960	13264	436.272	-302.56	809.104	-80
874325	7056	-4944	13360	430.416	-301.584	814.96	-128
879280	7184	-4992	13248	438.224	-304.512	808.128	-48
884233	7168	-4976	13232	437.248	-303.536	807.152	-176
889191	7184	-4992	13232	438.224	-304.512	807.152	-80
894144	7232	-4944	13280	441.152	-301.584	810.08	-112
899102	7360	-4992	13248	448.96	-304.512	808.128	-64
904056	7392	-5008	13216	450.912	-305.488	806.176	-160
909013	7424	-4896	13216	452.864	-298.656	806.176	-112
913968	7392	-4864	13136	450.912	-296.704	801.296	16
918924	7392	-4848	13184	450.912	-295.728	804.224	-80
923879	7328	-4864	13216	447.008	-296.704	806.176	-112
928833	7184	-4880	13264	438.224	-297.68	809.104	-48
933786	7216	-4880	13328	440.176	-297.68	813.008	-144
938744	7120	-4912	13344	434.32	-299.632	813.984	-64
943699	7120	-5040	13392	434.32	-307.44	816.912	-96
948654	7040	-5104	13392	429.44	-311.344	816.912	-16
953609	6976	-5152	13440	425.536	-314.272	819.84	-48
958565	7072	-5152	13392	431.392	-314.272	816.912	-112
963521	7072	-5216	13392	431.392	-318.176	816.912	16
968476	7120	-5264	13472	434.32	-321.104	821.792	-16
973432	7136	-5216	13408	435.296	-318.176	817.888	-96
978388	7248	-5168	13440	442.128	-315.248	819.84	0
983344	7296	-5152	13344	445.056	-314.272	813.984	-112
988299	7248	-5072	13392	442.128	-309.392	816.912	-32
993255	7312	-5056	13312	446.032	-308.416	812.032	-144
998211	7296	-5024	13280	445.056	-306.464	810.08	0
1003165	7232	-4944	13264	441.152	-301.584	809.104	-80
1008121	7168	-5008	13216	437.248	-305.488	806.176	-160
1013076	7120	-4960	13184	434.32	-302.56	804.224	32
1018031	7040	-4896	13184	429.44	-298.656	804.224	-96
1022986	7072	-4832	13184	431.392	-294.752	804.224	-48
1027942	6992	-4944	13232	426.512	-301.584	807.152	0
1032898	7008	-4944	13360	427.488	-301.584	814.96	-48
1037854	6928	-5024	13328	422.608	-306.464	813.008	-16
1042810	6928	-5008	13408	422.608	-305.488	817.888	-192
1047766	6928	-5040	13376	422.608	-307.44	815.936	16
1052722	6928	-5040	13312	422.608	-307.44	812.032	-96
1057678	6976	-5072	13264	425.536	-309.392	809.104	-176
1062634	7040	-4976	13136	429.44	-303.536	801.296	0
1067589	7104	-5008	13232	433.344	-305.488	807.152	-112
1072542	7168	-5040	13280	437.248	-307.44	810.08	-80
1077501	7200	-5008	13280	439.2	-305.488	810.08	-64
1082457	7216	-5008	13344	440.176	-305.488	813.984	-80
1087412	7200	-4992	13280	439.2	-304.512	810.08	-16
1092368	7200	-5008	13264	439.2	-305.488	809.104	-112
1097323	7232	-4992	13312	441.152	-304.512	812.032	0
1102279	7136	-5056	13248	435.296	-308.416	808.128	-48
1107234	7072	-5072	13216	431.392	-309.392	806.176	-160
1112189	7056	-5168	13248	430.416	-315.248	808.128	-16
1117142	7104	-5136	13200	433.344	-313.296	805.2	-144
1122100	7056	-5152	13184	430.416	-314.272	804.224	-64
1127055	7056	-5200	13248	430.416	-317.2	808.128	-128
1132010	7104	-5152	13216	433.344	-314.272	806.176	16
1136965	7104	-5200	13296	433.344	-317.2	811.056	-80
1141920	7200	-5216	13280	439.2	-318.176	810.08	-80
1146876	7136	-5120	13296	435.296	-312.32	811.056	48
1151832	7184	-5136	13328	438.224	-313.296	813.008	-32
1156789	7152	-5008	13312	436.272	-305.488	812.032	-128
1161743	7184	-5072	13424	438.224	-309.392	818.864	-16
1166699	7104	-5088	13344	433.344	-310.368	813.984	-96
1171655	7056	-5072	13360	430.416	-309.392	814.96	-16
1176610	7024	-5136	13296	428.464	-313.296	811.056	-128
1181563	7040	-5200	13248	429.44	-317.2	808.128	80
1186520	7008	-5168	13264	427.488	-315.248	809.104	-80
1191475	7072	-5120	13248	431.392	-312.32	808.128	-128
1196430	7088	-5104	13280	432.368	-311.344	810.08	16
1201386	7120	-5168	13312	434.32	-315.248	812.032	-64
1206341	7184	-5232	13392	438.224	-319.152	816.912	-64
1211297	7216	-5120	13408	440.176	-312.32	817.888	-96
1216253	7216	-5040	13376	440.176	-307.44	815.936	-128
1221209	7280	-4944	13344	444.08	-301.584	813.984	-112
1226164	7360	-4864	13344	448.96	-296.704	813.984	-256
1231120	7408	-4848	13408	451.888	-295.728	817.888	-96
1236076	7392	-4944	13440	450.912	-301.584	819.84	-304
1241031	7312	-4992	13456	446.032	-304.512	820.816	-400
1245985	7296	-5024	13584	445.056	-306.464	828.624	-224
1250942	7280	-5248	13664	444.08	-320.128	833.504	-448
1255897	7184	-5344	13616	438.224	-325.984	830.576	-336
1260854	6976	-5392	13680	425.536	-328.912	834.48	-368
1265810	6960	-5344	13632	424.56	-325.984	831.552	-352
1270765	6848	-5296	13568	417.728	-323.056	827.648	-416
1275720	6800	-5312	13520	414.8	-324.032	824.72	-400
1280675	6624	-5200	13504	404.064	-317.2	823.744	-240
1285631	6608	-5152	13536	403.088	-314.272	825.696	-368
1290586	6624	-5168	13440	404.064	-315.248	819.84	-480
1295542	6672	-5104	13392	406.992	-311.344	816.912	-304
1300497	6624	-5072	13408	404.064	-309.392	817.888	-400
1305453	6608	-5088	13392	403.088	-310.368	816.912	-336
1310408	6752	-5120	13328	411.872	-312.32	813.008	-384
1315365	6752	-5088	13328	411.872	-310.368	813.008	-256
1320320	6816	-5072	13440	415.776	-309.392	819.84	-320
1325277	6880	-5088	13424	419.68	-310.368	818.864	-224
1330232	6944	-5072	13504	423.584	-309.392	823.744	-128
1335187	6976	-5040	13504	425.536	-307.44	823.744	-240
1340142	7136	-5024	13472	435.296	-306.464	821.792	-256
1345097	7088	-5008	13424	432.368	-305.488	818.864	-128
1350052	7104	-5008	13424	433.344	-305.488	818.864	-240
1355008	7152	-4976	13408	436.272	-303.536	817.888	-96
1359963	7184	-5024	13312	438.224	-306.464	812.032	-208
1364919	7168	-5072	13296	437.248	-309.392	811.056	-48
1369874	7120	-5104	13248	434.32	-311.344	808.128	-160
1374830	7104	-5152	13200	433.344	-314.272	805.2	-192
1379787	7056	-5200	13216	430.416	-317.2	806.176	-32
1384742	7056	-5168	13232	430.416	-315.248	807.152	-128
1389697	6944	-5248	13344	423.584	-320.128	813.984	-96
1394653	6928	-5280	13376	422.608	-322.08	815.936	-96
1399607	6912	-5328	13392	421.632	-325.008	816.912	-80
1404564	6928	-5392	13392	422.608	-328.912	816.912	-16
1409519	6960	-5360	13504	424.56	-326.96	823.744	-80
1414475	6960	-5280	13424	424.56	-322.08	818.864	16
1419431	6992	-5280	13440	426.512	-322.08	819.84	-112
1424387	6992	-5200	13440	426.512	-317.2	819.84	-112
1429343	7024	-5200	13392	428.464	-317.2	816.912	48
1434298	7088	-5136	13440	432.368	-313.296	819.84	-128
1439252	7120	-5104	13488	434.32	-311.344	822.768	-64
1444211	7200	-5120	13456	439.2	-312.32	820.816	-16
1449167	7184	-5136	13504	438.224	-313.296	823.744	-16
1454122	7104	-5200	13504	433.344	-317.2	823.744	-48
1459077	7072	-5184	13536	431.392	-316.224	825.696	0
1464030	7088	-5152	13456	432.368	-314.272	820.816	48
1468988	6976	-5136	13424	425.536	-313.296	818.864	-48
1473944	7008	-5200	13344	427.488	-317.2	813.984	-112
1478900	6960	-5152	13312	424.56	-314.272	812.032	80
1483854	7024	-5088	13424	428.464	-310.368	818.864	-48
1488811	6976	-5120	13376	425.536	-312.32	815.936	16
1493766	6944	-5104	13440	423.584	-311.344	819.84	-64
1498721	6896	-5120	13472	420.656	-312.32	821.792	96
1503677	6976	-5104	13536	425.536	-311.344	825.696	-16
1508634	6928	-5168	13504	422.608	-315.248	823.744	-64
1513590	6976	-5104	13536	425.536	-311.344	825.696	32
1518546	6944	-5136	13504	423.584	-313.296	823.744	-32
1523502	6944	-5088	13472	423.584	-310.368	821.792	0
1528456	6960	-5120	13504	424.56	-312.32	823.744	16
1533412	6944	-5152	13504	423.584	-314.272	823.744	-32
1538368	6992	-5088	13504	426.512	-310.368	823.744	0
1543323	6960	-5088	13568	424.56	-310.368	827.648	-112
1548279	6928	-5168	13552	422.608	-315.248	826.672	64
1553234	6944	-5168	13520	423.584	-315.248	824.72	-96
1558190	6912	-5200	13536	421.632	-317.2	825.696	-80
1563145	6912	-5152	13520	421.632	-314.272	824.72	32
1568101	6912	-5136	13456	421.632	-313.296	820.816	-80
1573057	6912	-5104	13472	421.632	-311.344	821.792	-32
1578012	6912	-5120	13440	421.632	-312.32	819.84	-32
1582967	6912	-5072	13424	421.632	-309.392	818.864	-16
1587923	6864	-5008	13504	418.704	-305.488	823.744	-32
1592878	6864	-5008	13472	418.704	-305.488	821.792	-112
1597834	6880	-5104	13520	419.68	-311.344	824.72	48
1602789	6896	-5120	13456	420.656	-312.32	820.816	-80
1607744	6848	-5120	13488	417.728	-312.32	822.768	-144
1612700	6864	-5152	13520	418.704	-314.272	824.72	0
1617655	6912	-5184	13568	421.632	-316.224	827.648	-80
1622607	6864	-5168	13568	418.704	-315.248	827.648	-80
1627565	6880	-5136	13584	419.68	-313.296	828.624	-112
1632521	6992	-5120	13536	426.512	-312.32	825.696	0
1637476	6960	-5104	13520	424.56	-311.344	824.72	-16
1642431	6976	-5136	13472	425.536	-313.296	821.792	-64
1647386	6896	-5136	13440	420.656	-313.296	819.84	-16
1652341	6912	-5088	13472	421.632	-310.368	821.792	-16
1657296	6880	-5072	13408	419.68	-309.392	817.888	-112
1662253	6912	-5120	13456	421.632	-312.32	820.816	0
1667209	6960	-5136	13472	424.56	-313.296	821.792	-176
1672162	6992	-5120	13472	426.512	-312.32	821.792	-48
1677120	7040	-5152	13440	429.44	-314.272	819.84	-128
1682076	6992	-5168	13472	426.512	-315.248	821.792	48
1687031	6976	-5120	13472	425.536	-312.32	821.792	-80
1691986	7008	-5184	13488	427.488	-316.224	822.768	-96
1696942	7008	-5200	13376	427.488	-317.2	815.936	48
1701896	6928	-5136	13376	422.608	-313.296	815.936	-64
1706853	6896	-5104	13312	420.656	-311.344	812.032	-48
1711807	6848	-5184	13344	417.728	-316.224	813.984	16
1716762	6848	-5168	13408	417.728	-315.248	817.888	-80
1721716	6864	-5152	13440	418.704	-314.272	819.84	-32
1726672	6960	-5184	13440	424.56	-316.224	819.84	-176
1731628	6896	-5168	13488	420.656	-315.248	822.768	48
1736583	6960	-5136	13504	424.56	-313.296	823.744	-80
1741538	6912	-5152	13536	421.632	-314.272	825.696	-144
1746493	6960	-5136	13568	424.56	-313.296	827.648	16
1751449	6976	-5200	13568	425.536	-317.2	827.648	-160
1756404	6976	-5136	13536	425.536	-313.296	825.696	-112
1761358	6928	-5136	13456	422.608	-313.296	820.816	-64
1766313	7008	-5168	13408	427.488	-315.248	817.888	-80
1771269	6992	-5056	13440	426.512	-308.416	819.84	-16
1776224	6976	-5088	13344	425.536	-310.368	813.984	-112
1781179	6944	-5136	13392	423.584	-313.296	816.912	16
1786134	6880	-5088	13408	419.68	-310.368	817.888	-48
1791089	6896	-5136	13328	420.656	-313.296	813.008	-128
1796044	6848	-5088	13392	417.728	-310.368	816.912	-80
1800999	6800	-5152	13408	414.8	-314.272	817.888	-192
1805955	6784	-5136	13504	413.824	-313.296	823.744	-96
1810908	6784	-5136	13456	413.824	-313.296	820.816	-80
1815865	6832	-5168	13488	416.752	-315.248	822.768	-16
1820823	6848	-5168	13472	417.728	-315.248	821.792	-48
1825778	6800	-5184	13376	414.8	-316.224	815.936	-80
1830733	6880	-5200	13472	419.68	-317.2	821.792	32
1835688	6816	-5232	13360	415.776	-319.152	814.96	-64
1840644	6880	-5232	13440	419.68	-319.152	819.84	-112
1845600	6848	-5232	13584	417.728	-319.152	828.624	-16
1850555	6912	-5216	13536	421.632	-318.176	825.696	-208
1855511	6912	-5184	13584	421.632	-316.224	828.624	-64
1860467	6928	-5216	13584	422.608	-318.176	828.624	-144
1865422	6992	-5168	13600	426.512	-315.248	829.6	-32
1870378	6976	-5200	13568	425.536	-317.2	827.648	-64
1875333	7024	-5232	13568	428.464	-319.152	827.648	-96
1880287	6960	-5216	13456	424.56	-318.176	820.816	16
1885242	6992	-5232	13472	426.512	-319.152	821.792	-48
1890198	6976	-5344	13488	425.536	-325.984	822.768	-80
1895153	6896	-5248	13520	420.656	-320.128	824.72	-16
1900109	6832	-5248	13504	416.752	-320.128	823.744	-96
1905064	6784	-5248	13504	413.824	-320.128	823.744	-80
1910019	6800	-5280	13504	414.8	-322.08	823.744	-160
1914974	6768	-5264	13504	412.848	-321.104	823.744	16
1919929	6848	-5168	13504	417.728	-315.248	823.744	-128
1924884	6848	-5216	13568	417.728	-318.176	827.648	-112
1929839	6816	-5152	13568	415.776	-314.272	827.648	0
1934795	6880	-5104	13568	419.68	-311.344	827.648	-96
1939751	6928	-5152	13472	422.608	-314.272	821.792	-64
1944706	6928	-5136	13408	422.608	-313.296	817.888	-96
1949662	6880	-5200	13344	419.68	-317.2	813.984	-48
1954618	6912	-5264	13264	421.632	-321.104	809.104	-16
1959574	6832	-5232	13264	416.752	-319.152	809.104	-80
1964531	6816	-5280	13440	415.776	-322.08	819.84	48
1969486	6832	-5328	13456	416.752	-325.008	820.816	-32
1974440	6736	-5296	13440	410.896	-323.056	819.84	-96
1979395	6768	-5328	13472	412.848	-325.008	821.792	32
1984351	6784	-5216	13536	413.824	-318.176	825.696	-112
1989308	6800	-5312	13520	414.8	-324.032	824.72	-16
1994262	6736	-5264	13504	410.896	-321.104	823.744	-48
1999219	6784	-5232	13408	413.824	-319.152	817.888	-16
2004174	6832	-5296	13328	416.752	-323.056	813.008	-16
2009129	6864	-5248	13376	418.704	-320.128	815.936	-32
2014085	6896	-5328	13424	420.656	-325.008	818.864	48
2019040	6864	-5408	13504	418.704	-329.888	823.744	-32
2023995	6864	-5408	13456	418.704	-329.888	820.816	-80
2028951	6880	-5264	13424	419.68	-321.104	818.864	-16
2033906	6928	-5232	13392	422.608	-319.152	816.912	-128
2038860	6944	-5184	13376	423.584	-316.224	815.936	0
2043818	6864	-5184	13424	418.704	-316.224	818.864	-112
2048774	6864	-5168	13360	418.704	-315.248	814.96	0
2053728	6896	-5248	13296	420.656	-320.128	811.056	-96
2058686	6816	-5136	13328	415.776	-313.296	813.008	-144
2063641	6816	-5168	13264	415.776	-315.248	809.104	0
2068597	6848	-5248	13312	417.728	-320.128	812.032	-80
2073553	6848	-5280	13408	417.728	-322.08	817.888	-80
2078509	6848	-5248	13408	417.728	-320.128	817.888	-16
2083464	6880	-5216	13440	419.68	-318.176	819.84	-80
2088419	6912	-5264	13472	421.632	-321.104	821.792	-80
2093375	6960	-5200	13472	424.56	-317.2	821.792	-160
2098330	6992	-5232	13456	426.512	-319.152	820.816	16
2103285	6976	-5264	13520	425.536	-321.104	824.72	-128
2108240	6944	-5312	13472	423.584	-324.032	821.792	-176
2113195	6912	-5392	13504	421.632	-328.912	823.744	80
2118149	6848	-5392	13472	417.728	-328.912	821.792	-32
2123106	6800	-5472	13424	414.8	-333.792	818.864	-48
2128061	6816	-5488	13488	415.776	-334.768	822.768	-16
2133016	6736	-5424	13504	410.896	-330.864	823.744	-80
2137971	6784	-5408	13568	413.824	-329.888	827.648	-64
2142926	6768	-5424	13600	412.848	-330.864	829.6	-64
2147881	6736	-5440	13648	410.896	-331.84	832.528	64
2152836	6704	-5344	13568	408.944	-325.984	827.648	-48
2157793	6752	-5280	13568	411.872	-322.08	827.648	-128
2162748	6768	-5200	13520	412.848	-317.2	824.72	0
2167701	6752	-5152	13552	411.872	-314.272	826.672	-96
2172658	6752	-5232	13504	411.872	-319.152	823.744	-64
2177609	6736	-5184	13472	410.896	-316.224	821.792	-64
2182565	6768	-5168	13568	412.848	-315.248	827.648	0
2187521	6864	-5152	13520	418.704	-314.272	824.72	-48
2192476	6784	-5200	13488	413.824	-317.2	822.768	-32
2197431	6800	-5152	13376	414.8	-314.272	815.936	80
2202386	6880	-5200	13440	419.68	-317.2	819.84	-16
2207343	6896	-5264	13392	420.656	-321.104	816.912	-112
2212299	6832	-5280	13424	416.752	-322.08	818.864	16
2217254	6880	-5328	13360	419.68	-325.008	814.96	-160
2222210	6832	-5312	13328	416.752	-324.032	813.008	-16
2227163	6784	-5312	13344	413.824	-324.032	813.984	-96
2232119	6848	-5344	13328	417.728	-325.984	813.008	16
2237077	6848	-5408	13408	417.728	-329.888	817.888	-32
2242032	6832	-5360	13440	416.752	-326.96	819.84	-32
2246986	6816	-5408	13456	415.776	-329.888	820.816	64
2251941	6816	-5344	13504	415.776	-325.984	823.744	-32
2256896	6816	-5296	13504	415.776	-323.056	823.744	-96
2261852	6800	-5296	13584	414.8	-323.056	828.624	-16
2266806	6832	-5296	13568	416.752	-323.056	827.648	-80
2271761	6784	-5264	13632	413.824	-321.104	831.552	0
2276716	6816	-5120	13632	415.776	-312.32	831.552	-64
2281671	6784	-5152	13488	413.824	-314.272	822.768	80
2286626	6848	-5136	13456	417.728	-313.296	820.816	-80
2291582	6848	-5136	13376	417.728	-313.296	815.936	-160
2296536	6848	-5232	13344	417.728	-319.152	813.984	48
2301492	6800	-5152	13312	414.8	-314.272	812.032	-112
2306447	6800	-5184	13408	414.8	-316.224	817.888	-48
2311401	6784	-5296	13440	413.824	-323.056	819.84	-32
2316357	6816	-5376	13440	415.776	-327.936	819.84	-64
2321313	6736	-5392	13536	410.896	-328.912	825.696	-112
2326268	6784	-5440	13504	413.824	-331.84	823.744	-144
2331222	6848	-5424	13536	417.728	-330.864	825.696	16
2336178	6832	-5376	13520	416.752	-327.936	824.72	-128
2341134	6720	-5408	13568	409.92	-329.888	827.648	-160
2346090	6848	-5328	13504	417.728	-325.008	823.744	0
